Код,Наименование товаров,Заказ,Розничная,Корпоративная,от  5000 рублей,от 15000 рублей
00002879,"1-352 Разъем SCART ""гн"" пластик на корпус (шт.)",,40.00 руб.,24.20 руб.,26.00 руб.,25.00 руб.
,Разъемы SMA,,,,,
00008251,Переходник SMA гнездо -> F гнездо (шт.),,200.00 руб.,146.22 руб.,109.67 руб.,105.60 руб.
00008253,Переходник SMA гнездо -> F штекер (шт.),,200.00 руб.,126.78 руб.,95.09 руб.,91.56 руб.
00008252,Переходник SMA штекер -> F генздо (шт.),,200.00 руб.,135.11 руб.,101.34 руб.,97.58 руб.
00008250,Переходник SMA штекер -> F штекер (шт.),,200.00 руб.,155.90 руб.,116.93 руб.,112.60 руб.
00001267,Разъем гнездо SMA RG174  обжим (шт.),,165.00 руб.,152.34 руб.,131.33 руб.,126.08 руб.
00006184,Разъем гнездо SMA RG58 обжим (шт.),,180.00 руб.,166.61 руб.,143.63 руб.,137.88 руб.
00004776,Разъем штекер  SMA RG174 обжим (шт.),,195.00 руб.,173.56 руб.,130.17 руб.,125.35 руб.
00006185,Разъем штекер SMA RG58 обжим (шт.),,160.00 руб.,148.98 руб.,128.43 руб.,123.29 руб.
00005759,Удлинитель SMA RG174 штекер - гнездо 3м (шт.),,300.00 руб.,279.80 руб.,260.50 руб.,250.85 руб.
00000243,Удлинитель SMA RG174 штекер - гнездо 9м (уп.),,700.00 руб.,652.24 руб.,607.26 руб.,584.77 руб.
,Разъемы SPEACON,,,,,
00007480,"1-580 WH Разъем SPEACON ""шт"" пластик на кабель, белый (68.0мм) (шт.)",,120.00 руб.,108.00 руб.,84.00 руб.,81.00 руб.
00003551,"1-581 Разъем SPEACON ""шт""  пластик на кабель (91.0мм) (шт.)",,130.00 руб.,117.00 руб.,91.00 руб.,87.75 руб.
00003552,"1-590 Разъем SPEACON ""гн"" пластик на кабель (шт.)",,150.00 руб.,129.60 руб.,93.60 руб.,90.00 руб.
00002736,"1-591 Разъем SPEACON ""гн"" пластик на корпус (40мм х 40мм) (шт.)",,75.00 руб.,63.18 руб.,45.63 руб.,43.88 руб.
00004156,"1-592 Разъем SPEACON ""гн"" пластик на корпус (D 25мм х 35мм) (шт.)",,75.00 руб.,42.48 руб.,46.34 руб.,44.58 руб.
,Разъемы USB,,,,,
00004576,05-0006-9 Разъем гнездо miniUSB USB/M-1J на плату (шт.),,15.00 руб.,9.47 руб.,7.11 руб.,6.84 руб.
00003288,05-0007-9 Разъем гнездо USB A-1J на плату (шт.),,25.00 руб.,19.62 руб.,14.72 руб.,14.17 руб.
00000449,"1-803 Разъем USB тип C ""шт"" под пайку на кабель (шт.)",,60.00 руб.,52.78 руб.,39.59 руб.,38.12 руб.
00001963,40-001 Штекер USB (А) на кабель пластик разборный (шт.),,30.00 руб.,24.68 руб.,18.51 руб.,17.83 руб.
00003193,40-003 Штекер USB (micro B) на кабель пластик разборный (шт.),,55.00 руб.,45.83 руб.,34.38 руб.,33.10 руб.
00004319,"5-933MG-1 Насадка USB Type-C ""шт"" на магнит (шт.)",,75.00 руб.,68.40 руб.,59.28 руб.,61.56 руб.
00004320,"5-943MG-1 Насадка micro B ""шт"" на магнит (шт.)",,75.00 руб.,64.80 руб.,48.60 руб.,46.80 руб.
00003937,АС 06-039 Гнездо USB (А)на кабель пластик разборный 06-039 (шт.),,40.00 руб.,31.72 руб.,23.79 руб.,22.91 руб.
00002801,Отсоединяемый наконечник для магнитного кабеля Ligthning для iPhone (шт.),,100.00 руб.,83.69 руб.,75.32 руб.,72.53 руб.
00001567,Отсоединяемый наконечник для магнитного кабеля USB Type C (шт.),,75.00 руб.,68.40 руб.,61.56 руб.,59.28 руб.
00007644,Разъем гнездо microUSB 5pin на плату (4 лапки) арт. 3 (шт.),,20.00 руб.,10.25 руб.,7.69 руб.,7.40 руб.
00006008,Разъем гнездо microUSB 5pin на плату (4 лапки) арт. 4 (шт.),,20.00 руб.,12.06 руб.,9.05 руб.,8.71 руб.
00006009,Разъем гнездо microUSB 5pin на плату арт. 1 (шт.),,20.00 руб.,6.97 руб.,5.23 руб.,5.04 руб.
00006007,Разъем гнездо microUSB 9pin на плату (шт.),,45.00 руб.,38.31 руб.,28.73 руб.,27.67 руб.
00006687,Разъем гнездо USB 3.1 Type - C на плату (шт.),,80.00 руб.,68.69 руб.,53.43 руб.,51.52 руб.
00006006,Разъем гнездо для карты microSD на плату (шт.),,20.00 руб.,17.36 руб.,13.02 руб.,12.54 руб.
,Разъемы XLR (canonn),,,,,
00002750,"1-503 BK Разъем XLR 3P ""шт"" металл цанга на кабель, черный (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00002043,"1-503 BL Разъем XLR 3P ""шт"" металл цанга на кабель, синий (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00000071,"1-503 RD Разъем XLR 3P ""шт"" металл цанга на кабель, красный (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00005433,"1-503 YE Разъем XLR 3P ""шт"" металл цанга на кабель, желтый (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00003420,"1-504 BK Разъем XLR 3P ""гн"" металл цанга на кабель, черный (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00000134,"1-504 BL Разъем XLR 3P ""гн"" металл цанга на кабель, синий (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00003421,"1-504 RD Разъем XLR 3P ""гн"" металл цанга на кабель, красный (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00005434,"1-504 YE Разъем XLR 3P ""гн"" металл цанга на кабель, желтый (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00007643,"1-505 Разъем XLR 3P ""шт"" металл на кабель с хомутом (60мм) (шт.)",,100.00 руб.,90.00 руб.,70.00 руб.,67.50 руб.
00004008,"1-506 Разъем XLR 3P ""гн"" металл на кабель с хомутом (70мм) (шт.)",,100.00 руб.,90.00 руб.,70.00 руб.,67.50 руб.
00002758,"1-530 Разъем XLR 3P ""шт"" металл на корпус (шт.)",,100.00 руб.,82.80 руб.,64.40 руб.,62.10 руб.
00002881,"1-531 Разъем XLR 3P ""гн"" металл на корпус (шт.)",,120.00 руб.,108.00 руб.,84.00 руб.,81.00 руб.
00000320,"45-015 Разъем XLR 3P ""шт"" угловой на кабель (шт.)",,150.00 руб.,129.57 руб.,107.98 руб.,103.66 руб.
00003799,"45-016 Разъем XLR 3P ""гн"" угловой на кабель (шт.)",,150.00 руб.,140.12 руб.,116.77 руб.,112.10 руб.
00006934,45-017 Микрофонное гнездо MIC 2 pin на кабель (шт.),,50.00 руб.,46.57 руб.,32.34 руб.,31.05 руб.
00006936,45-018 Микрофонный штекер MIC 2 pin на корпус (шт.),,50.00 руб.,44.73 руб.,31.07 руб.,29.82 руб.
00006706,45-019 Микрофонное гнездо MIC 3 pin на кабель (шт.),,55.00 руб.,47.83 руб.,33.22 руб.,31.89 руб.
00006707,45-020 Микрофонный штекер MIC 3 pin на корпус (шт.),,55.00 руб.,47.83 руб.,33.22 руб.,31.89 руб.
00006708,45-021 Микрофонное гнездо MIC 4 pin на кабель (шт.),,60.00 руб.,53.41 руб.,37.09 руб.,35.61 руб.
00002274,45-022 Микрофонный штекер MIC 4 pin на корпус (шт.),,60.00 руб.,50.08 руб.,34.78 руб.,33.39 руб.
00006935,45-023 Микрофонное гнездо MIC 5 pin на кабель (шт.),,65.00 руб.,57.12 руб.,39.67 руб.,38.08 руб.
00006937,45-024 Микрофонный штекер MIC 5 pin на корпус (шт.),,65.00 руб.,53.82 руб.,37.38 руб.,35.88 руб.
00006992,45-025 Микрофонное гнездо MIC 6 pin на кабель (шт.),,60.00 руб.,54.38 руб.,45.32 руб.,43.50 руб.
00006991,45-026 Микрофонный штекер MIC 6 pin на корпус (шт.),,60.00 руб.,53.66 руб.,44.72 руб.,42.93 руб.
00006993,45-027 Микрофонное гнездо MIC 8 pin на кабель (шт.),,65.00 руб.,56.39 руб.,46.99 руб.,45.11 руб.
00005806,45-028 Микрофонный штекер MIC 8 pin на корпус (шт.),,65.00 руб.,56.39 руб.,48.87 руб.,46.99 руб.
,"Разъемы аудио ""прищепка"", ""зажим""",,,,,
00001627,1-700 Прищепка аудио двойная пластик на корпус (шт.),,25.00 руб.,20.52 руб.,14.58 руб.,14.04 руб.
00001660,1-701 Прищепка аудио четверная пластик на корпус (шт.),,40.00 руб.,30.78 руб.,23.09 руб.,22.23 руб.
00001731,1-710 Прищепка аудио двойная квадратная пластик на корпус (шт.),,30.00 руб.,24.48 руб.,19.04 руб.,18.36 руб.
00002834,1-715 Прищепка аудио двойная круглая 55мм пластик на корпус вклеиваемая (шт.),,30.00 руб.,22.95 руб.,17.22 руб.,16.58 руб.
00001754,1-716 Прищепка аудио двойная круглая 75мм пластик на корпус (шт.),,50.00 руб.,41.04 руб.,29.16 руб.,28.08 руб.
00001045,"1-723G Терминал аудио квадратный металл ""позолоченный"" на корпус (шт.)",,180.00 руб.,152.28 руб.,109.98 руб.,105.75 руб.
00003137,"1-724G Терминал аудио круглый пластик ""позолоченный"" 75мм на корпус (шт.)",,180.00 руб.,150.66 руб.,113.00 руб.,108.81 руб.
00003632,"1-725G Терминал аудио круглый пластик ""позолоченный"" 105мм на корпус (шт.)",,180.00 руб.,160.74 руб.,103.22 руб.,98.99 руб.
00002572,"1-727G Терминал аудио круглый металл ""позолоченный"" 75мм на корпус (шт.)",,180.00 руб.,160.74 руб.,109.98 руб.,105.75 руб.
00002507,"1-729G Терминал аудио круглый металл ""позолоченный"" 105мм на корпус (шт.)",,150.00 руб.,135.36 руб.,97.76 руб.,94.00 руб.
00000064,"1-741G Терминал аудио четверной пластик ""позолоченный"" на корпус (шт.)",,350.00 руб.,186.82 руб.,205.33 руб.,196.92 руб.
00001577,"1-743G Терминал аудио четверной металл ""позолоченный"" на корпус (шт.)",,450.00 руб.,400.14 руб.,288.99 руб.,277.88 руб.
00000210,1-750 Площадка для динамика пластик  на корпус (шт.),,85.00 руб.,80.37 руб.,57.11 руб.,54.99 руб.
00001556,"1-750G Площадка для динамика короткая пластик ""позолоченная"" на корпус (шт.)",,100.00 руб.,94.05 руб.,66.83 руб.,64.35 руб.
00001155,1-753 Площадка для динамика металл на корпус (шт.),,120.00 руб.,100.44 руб.,75.33 руб.,72.54 руб.
00000569,"1-753G Площадка для динамика короткая металл ""позолоченная"" на корпус (шт.)",,180.00 руб.,152.28 руб.,114.21 руб.,109.98 руб.
00000920,1-755 Площадка для динамика пластик на корпус угловая (шт.),,100.00 руб.,89.10 руб.,66.83 руб.,64.35 руб.
00002511,"1-755G Площадка для динамика пластик ""позолоченная"" на корпус угловая (шт.)",,150.00 руб.,126.54 руб.,86.58 руб.,83.25 руб.
00000406,1-757 Площадка для динамика металл  на корпус угловая (шт.),,120.00 руб.,100.44 руб.,75.33 руб.,72.54 руб.
00004021,"1-757G Площадка для динамика короткая металл ""позолоченная"" на корпус угловая (шт.)",,170.00 руб.,152.28 руб.,114.21 руб.,109.98 руб.
00000801,1-770 Терминал RCA двойной на корпус (шт.),,20.00 руб.,17.82 руб.,12.87 руб.,12.38 руб.
00000784,1-772 Терминал RCA четверной на корпус (шт.),,40.00 руб.,32.40 руб.,23.40 руб.,22.50 руб.
00006488,Панель 2 гнезда RCA на плату 25*13мм (вертикальная) (шт.),,95.00 руб.,82.08 руб.,68.40 руб.,66.12 руб.
00004460,Панель 3 гнезда RCA на корпус 22*60мм   4005 (шт.),,65.00 руб.,38.52 руб.,28.89 руб.,27.82 руб.
00001762,Панель 4 гнезда RCA на плату 25*25мм (квадрат) (шт.),,105.00 руб.,91.77 руб.,76.47 руб.,73.93 руб.
00006489,Панель 6 гнезд RCA на плату 25*40мм (шт.),,140.00 руб.,125.68 руб.,104.73 руб.,101.24 руб.
00007699,"Терминал аудио круглый металл ""позолоченный"" на корпус MYSTERY MTN-30 (шт.)",,150.00 руб.,129.60 руб.,93.60 руб.,90.00 руб.
,"Разъемы аудио ""точка-тире""",,,,,
00001845,"1-604 Разъем аудио ""точка-тире"" ""шт"" пластик угловой на кабель, винт (шт.)",,40.00 руб.,32.40 руб.,24.30 руб.,23.40 руб.
00000628,"1-606 Разъем аудио ""точка-тире"" ""шт"" пластик на кабель (красный и черный) ""кубик"" (шт.)",,30.00 руб.,16.34 руб.,18.23 руб.,17.55 руб.
00003688,41-012 Штекер акустический 2 pin DIN (точка-тире) на кабель (шт.),,50.00 руб.,32.89 руб.,24.67 руб.,23.76 руб.
00000656,41-013 Гнездо акустическое 2 pin DIN (точка-тире) на кабель (шт.),,50.00 руб.,33.30 руб.,24.98 руб.,24.05 руб.
00000253,АС 2507 Гнездо акустическое 2 pin DIN(точка-тире) на корпус (шт.),,25.00 руб.,21.21 руб.,14.74 руб.,14.18 руб.
,Разъемы аудио 2.5мм,,,,,
00000360,"1-000 Разъем аудио 2.5мм ""шт"" моно пластик на кабель (шт.)",,15.00 руб.,8.72 руб.,9.72 руб.,9.36 руб.
00003613,"1-000G Разъем аудио 2.5мм ""шт"" моно пластик ""позолоченный"" на кабель (шт.)",,20.00 руб.,16.20 руб.,11.70 руб.,11.25 руб.
00002677,"1-001 Разъем аудио 2.5мм ""шт"" стерео пластик на кабель (шт.)",,15.00 руб.,13.68 руб.,8.64 руб.,8.28 руб.
00004549,"1-004 Разъем аудио 2.5мм ""шт"" моно металл на кабель (шт.)",,40.00 руб.,30.78 руб.,21.87 руб.,21.06 руб.
00002679,"1-031G Разъем аудио 2.5мм ""гн"" стерео пластик ""позолоченный"" на кабель (шт.)",,40.00 руб.,19.80 руб.,21.60 руб.,20.70 руб.
00002680,"1-035 Разъем аудио 2.5мм ""гн"" стерео металл на кабель (шт.)",,40.00 руб.,30.78 руб.,20.52 руб.,19.67 руб.
00002681,"1-035G Разъем аудио 2.5мм ""гн"" стерео металл ""позолоченный"" на кабель (шт.)",,40.00 руб.,32.40 руб.,21.60 руб.,20.70 руб.
00002726,"1-037 Разъем аудио 2.5мм ""гн"" стерео металл на корпус с гайкой (шт.)",,30.00 руб.,24.30 руб.,17.55 руб.,16.88 руб.
,Разъемы аудио 3.5мм,,,,,
00002335,"1-040 Разъем аудио 3.5мм ""шт"" моно пластик на кабель (шт.)",,10.00 руб.,4.34 руб.,4.84 руб.,4.66 руб.
00002727,"1-041 Разъем аудио 3.5мм ""шт"" стерео пластик на кабель (шт.)",,15.00 руб.,13.68 руб.,9.72 руб.,9.36 руб.
00000825,"1-044 Разъем аудио 3.5мм ""шт"" моно металл  на кабель (шт.)",,30.00 руб.,24.91 руб.,17.70 руб.,17.05 руб.
00002338,"1-044G Разъем аудио 3.5мм ""шт"" моно металл ""позолоченный"" на кабель (шт.)",,40.00 руб.,34.20 руб.,23.40 руб.,22.50 руб.
00002728,"1-045 Разъем аудио 3.5мм ""шт"" стерео металл на кабель (шт.)",,25.00 руб.,18.90 руб.,14.18 руб.,13.65 руб.
00002729,"1-045G Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель (шт.)",,40.00 руб.,31.68 руб.,24.64 руб.,23.76 руб.
00003853,"1-054G Разъем аудио 3.5мм ""шт"" моно угловой пластик ""позолоченный"" на кабель (шт.)",,35.00 руб.,30.78 руб.,23.09 руб.,22.23 руб.
00001156,"1-055 Разъем аудио 3.5мм ""шт"" стерео угловой пластик на кабель (шт.)",,30.00 руб.,22.68 руб.,17.01 руб.,16.38 руб.
00000643,"1-055G Разъем аудио 3.5мм ""шт"" стерео угловой пластик ""позолоченный"" на кабель (шт.)",,40.00 руб.,34.02 руб.,25.52 руб.,24.57 руб.
00000280,"1-056 Разъем аудио 3.5мм ""шт"" моно металл на кабель диаметром до 6.5мм (шт.)",,100.00 руб.,90.00 руб.,65.00 руб.,62.50 руб.
00001663,"1-062G Разъем аудио 3.5мм ""шт"" моно металл ""позолоченный"" на кабель диаметром до 5.0мм (шт.)",,20.00 руб.,14.85 руб.,11.14 руб.,10.73 руб.
00002374,"1-063G Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель диаметром до 5.0мм (шт.)",,120.00 руб.,95.04 руб.,73.92 руб.,71.28 руб.
00005343,"1-065G BK Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель в мини корпусе черный (шт.)",,100.00 руб.,87.48 руб.,65.61 руб.,63.18 руб.
00006989,"1-065G BL Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель в мини корпусе синий (шт.)",,100.00 руб.,87.48 руб.,60.75 руб.,58.32 руб.
00006990,"1-065G RD Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель в мини корпусе красный (шт.)",,100.00 руб.,87.48 руб.,60.75 руб.,58.32 руб.
00000945,"1-065G SL Разъем аудио 3.5мм ""шт"" стерео металл ""позолоченный"" на кабель в мини корпусе серебристый (шт.)",,100.00 руб.,87.48 руб.,65.61 руб.,63.18 руб.
00000719,"1-070 Разъем аудио-видео 3.5мм ""шт"" 4 контакта пластик на кабель (шт.)",,50.00 руб.,26.14 руб.,29.16 руб.,28.08 руб.
00000180,"1-075 Разъем аудио-видео 3.5мм ""шт"" 4 контакта металл на кабель (шт.)",,65.00 руб.,59.67 руб.,41.31 руб.,39.78 руб.
00000485,"1-075G Разъем аудио-видео 3.5мм ""шт"" 4 контакта металл ""позолоченный"" на кабель (шт.)",,65.00 руб.,58.14 руб.,41.31 руб.,39.78 руб.
00000954,"1-078G Разъем аудио 3.5мм ""шт"" 4C металл ""позолоченный"" на кабель в мини корпусе (шт.)",,120.00 руб.,97.20 руб.,72.90 руб.,70.20 руб.
00002731,"1-081 Разъем аудио 3.5мм ""гн"" стерео пластик на кабель (шт.)",,30.00 руб.,23.94 руб.,17.01 руб.,16.38 руб.
00001342,"1-081G Разъем аудио 3.5мм ""гн"" стерео пластик ""позолоченный"" на кабель (шт.)",,30.00 руб.,14.85 руб.,16.20 руб.,15.53 руб.
00002730,"1-085 Разъем аудио 3.5мм ""гн"" стерео металл на кабель (шт.)",,50.00 руб.,37.80 руб.,28.35 руб.,27.30 руб.
00000766,"1-085G Разъем аудио 3.5мм ""гн"" стерео металл ""позолоченный"" на кабель (шт.)",,65.00 руб.,61.56 руб.,43.74 руб.,42.12 руб.
00006523,"1-087-4G Разъем аудио 3.5мм ""гн"" 4 контакта mini металл позолоченный на кабель (шт.)",,100.00 руб.,97.20 руб.,70.20 руб.,67.50 руб.
00006524,"1-087G Разъем аудио 3.5мм ""гн"" стерео mini металл позолоченный на кабель (шт.)",,100.00 руб.,97.20 руб.,70.20 руб.,67.50 руб.
00003070,"1-091 Разъем аудио 3.5мм ""гн"" стерео металл на корпус с гайкой (трубка) (шт.)",,50.00 руб.,33.75 руб.,25.32 руб.,24.38 руб.
00006525,"1-091-4 Разъем аудио 3.5мм ""гн"" 4C пластик на корпус с гайкой (шт.)",,65.00 руб.,55.08 руб.,39.78 руб.,38.25 руб.
00005422,"1-092 Разъем аудио 3.5мм ""гн"" моно металл на корпус с гайкой (шт.)",,35.00 руб.,32.49 руб.,23.09 руб.,22.23 руб.
00003631,"1-093 Разъем аудио 3.5мм ""гн"" стерео металл на корпус с гайкой (шт.)",,50.00 руб.,40.37 руб.,27.95 руб.,26.91 руб.
00005424,"1-095 Разъем аудио 3.5мм ""гн"" стерео пластик на корпус с гайкой (белый) (шт.)",,20.00 руб.,17.10 руб.,12.15 руб.,11.70 руб.
00005425,"1-097 Разъем аудио 3.5мм ""гн"" стерео пластик на корпус с гайкой (стекло) (шт.)",,30.00 руб.,20.16 руб.,15.68 руб.,15.12 руб.
00003295,"1-098 Разъем аудио 3.5мм ""гн"" стерео пластик на плату (зеленый) (шт.)",,15.00 руб.,13.68 руб.,9.72 руб.,9.36 руб.
00002837,"1-099 Разъем аудио 3.5мм ""гн"" стерео пластик монтажный на плату (шт.)",,20.00 руб.,16.20 руб.,12.15 руб.,11.70 руб.
00000743,АС 1025 -1 Штекер 3.5 мм стерео 4С пластик угловой на кабель (шт.),,50.00 руб.,47.50 руб.,32.50 руб.,31.25 руб.
00000157,"АС 1116 Разъем аудио 3.5мм ""гн"" стерео пластик монтажный на плату (шт.)",,20.00 руб.,18.00 руб.,13.50 руб.,13.00 руб.
00002113,Штекер 3.5 мм стерео 4С пластик мини белый на кабель (шт.),,65.00 руб.,58.18 руб.,43.64 руб.,42.02 руб.
,Разъемы аудио 6.3мм,,,,,
00003296,"1-100 Разъем аудио 6.3мм ""шт"" моно пластик на кабель (шт.)",,30.00 руб.,24.30 руб.,18.23 руб.,17.55 руб.
00001611,"1-100G Разъем аудио 6.3мм ""шт"" моно пластик ""позолоченный"" на кабель (шт.)",,30.00 руб.,27.36 руб.,19.01 руб.,18.29 руб.
00002839,"1-101 Разъем аудио 6.3мм ""шт"" стерео пластик на кабель (шт.)",,30.00 руб.,24.30 руб.,18.23 руб.,17.55 руб.
00002008,"1-101G Разъем аудио 6.3мм ""шт"" стерео пластик ""позолоченный"" на кабель (шт.)",,30.00 руб.,25.92 руб.,19.44 руб.,18.72 руб.
00000501,"1-104 Разъем аудио 6.3мм ""шт"" моно металл на кабель (шт.)",,40.00 руб.,30.24 руб.,23.52 руб.,22.68 руб.
00002885,"1-104G Разъем аудио 6.3мм ""шт"" моно металл ""позолоченный"" на кабель (шт.)",,50.00 руб.,39.15 руб.,29.37 руб.,28.28 руб.
00000943,"1-105 Разъем аудио 6.3мм ""шт"" стерео металл на кабель (шт.)",,50.00 руб.,37.80 руб.,29.40 руб.,28.35 руб.
00004310,"1-105G Разъем аудио 6.3мм ""шт"" стерео металл ""позолоченный"" на кабель (шт.)",,60.00 руб.,52.20 руб.,40.60 руб.,39.15 руб.
00001205,"1-118G BK Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (черный) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00002114,"1-118G BL Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (синий) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005426,"1-118G GR Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (зеленый) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00003649,"1-118G RD Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (красный) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005804,"1-118G WH Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (белый) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005427,"1-118G YE Разъем аудио 6.3мм ""шт"" моно металл цанга ""позолоченный"" носик на кабель (желтый) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00002467,"1-119G BK Разъем аудио 6.3мм ""шт"" стерео металл цанга ""позолоченный"" носик на кабель (черный) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005642,"1-119G BL Разъем аудио 6.3мм ""шт"" стерео металл цанга ""позолоченный"" носик на кабель (синий) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00001149,"1-119G RD Разъем аудио 6.3мм ""шт"" стерео металл цанга ""позолоченный"" носик на кабель (красный) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005428,"1-119G WH Разъем аудио 6.3мм ""шт"" стерео металл цанга ""позолоченный"" носик на кабель (белый) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00005429,"1-119G YE Разъем аудио 6.3мм ""шт"" стерео металл цанга ""позолоченный"" носик на кабель (желтый) (шт.)",,80.00 руб.,72.00 руб.,56.00 руб.,54.00 руб.
00006282,"1-121G RD Разъем аудио 6.35мм ""шт"" стерео в резиновом корпусе ""позолоченный"" на кабель, красный (шт.)",,60.00 руб.,54.00 руб.,39.00 руб.,37.50 руб.
00005432,"1-121G YE Разъем аудио 6.35мм ""шт"" стерео в резиновом корпусе ""позолоченный"" на кабель, желтый (шт.)",,60.00 руб.,57.00 руб.,39.00 руб.,37.50 руб.
00008374,"1-135 Разъем аудио 6.35мм ""шт"" стерео угловой металл на кабель (таблетка) (шт.)",,50.00 руб.,43.20 руб.,33.60 руб.,32.40 руб.
00001537,"1-136 Разъем аудио 6.35мм ""шт"" моно угловой пластик-металл на кабель (шт.)",,80.00 руб.,68.85 руб.,51.64 руб.,49.73 руб.
00000929,"1-151 Разъем аудио 6.3мм ""гн"" стерео пластик на кабель (шт.)",,40.00 руб.,32.40 руб.,24.30 руб.,23.40 руб.
00003633,"1-155 Разъем аудио 6.3мм ""гн"" стерео металл на кабель (шт.)",,85.00 руб.,76.14 руб.,57.11 руб.,54.99 руб.
00001220,"1-170 Разъем аудио 6.3мм ""гн"" моно металл на корпус под гайку (шт.)",,40.00 руб.,34.20 руб.,24.30 руб.,23.40 руб.
00002407,"1-171 Разъем аудио 6.3мм ""гн"" стерео металл на корпус под гайку (шт.)",,40.00 руб.,32.40 руб.,24.30 руб.,23.40 руб.
00005805,"1-172 Разъем аудио 6.3мм ""гн"" моно пластик на корпус под гайку ""паук"" (шт.)",,30.00 руб.,24.30 руб.,18.23 руб.,17.55 руб.
00001176,"1-173 Разъем аудио 6.3мм ""гн"" стерео пластик на корпус под гайку ""паук"" (шт.)",,30.00 руб.,24.30 руб.,18.23 руб.,17.55 руб.
00003689,"1-175 Разъем аудио 6.3мм ""гн"" стерео металл на корпус с гайкой (гитарное) (шт.)",,280.00 руб.,238.14 руб.,171.99 руб.,165.38 руб.
00005327,"43-009 Штекер 6,3 мм моно металл на кабель угловой (таблетка) (шт.)",,70.00 руб.,60.14 руб.,45.11 руб.,43.44 руб.
00006259,43-021 Штекер 6.3мм стерео металл GOLD с пружиной (шт.),,60.00 руб.,52.38 руб.,39.29 руб.,37.83 руб.
,Разъемы БАНАН,,,,,
00002923,"1-622 Разъем акустический ""банан"" ""шт"" пластик на кабель, винт (шт.)",,15.00 руб.,12.96 руб.,9.72 руб.,9.36 руб.
00002924,"1-622G Разъем акустический ""банан"" ""шт"" пластик ""позолоченный"" на кабель, винт (шт.)",,30.00 руб.,23.40 руб.,18.20 руб.,17.55 руб.
00004199,"1-624 Разъем акустический ""банан"" ""шт"" пластик на кабель диаметром до 4.0мм под винт (шт.)",,30.00 руб.,25.92 руб.,19.44 руб.,18.72 руб.
00001749,"1-624G Разъем акустический ""банан"" ""шт"" пластик ""позолоченный"" на кабель диаметром до 4.0мм (шт.)",,35.00 руб.,30.78 руб.,23.09 руб.,22.23 руб.
00000739,"1-627G Разъем акустический ""банан"" ""шт"" металл ""позолоченный"" на кабель диаметром до 4.0мм (шт.)",,160.00 руб.,148.77 руб.,101.79 руб.,97.88 руб.
00000593,"1-629G Разъем акустический ""банан"" ""шт"" металл ""позолоченный"" на кабель диаметром до 6.0мм (Ni-Gold) (шт.)",,150.00 руб.,126.54 руб.,79.92 руб.,76.59 руб.
00000843,"1-631G Разъем акустический ""банан"" ""шт"" металл ""позолоченный"" на кабель диаметром до 6.0мм (шт.)",,120.00 руб.,114.57 руб.,81.41 руб.,78.39 руб.
00004200,"1-633G Разъем акустический ""банан"" ""шт"" металл ""позолоченный"" на кабель диаметром до 10.0мм (шт.)",,100.00 руб.,94.05 руб.,64.35 руб.,61.88 руб.
00004157,"1-650 Разъем ""банан"" ""гн"" 33 мм пластик на корпус, красный и черный (шт.)",,25.00 руб.,13.07 руб.,14.58 руб.,14.04 руб.
